Clade,Date,Location,Freq
GH,2020-11-30/2020-12-06,North America,7725
GH,2020-11-30/2020-12-06,Oceania,26
GH,2020-11-30/2020-12-06,South America,28
GH,2020-12-07/2020-12-13,Africa,344
GH,2020-12-07/2020-12-13,Asia,488
GH,2020-12-07/2020-12-13,Europe,1825
GH,2020-12-07/2020-12-13,North America,8745
GH,2020-12-07/2020-12-13,Oceania,25
GH,2020-12-07/2020-12-13,South America,24
GH,2020-12-14/2020-12-20,Africa,409
GH,2020-12-14/2020-12-20,Asia,804
GH,2020-12-14/2020-12-20,Europe,2100
GH,2020-12-14/2020-12-20,North America,8496
GH,2020-12-14/2020-12-20,Oceania,102
GH,2020-12-14/2020-12-20,South America,42
GH,2020-12-21/2020-12-27,Africa,508
GH,2020-12-21/2020-12-27,Asia,763
GH,2020-12-21/2020-12-27,Europe,1584
GH,2020-12-21/2020-12-27,North America,6960
GH,2020-12-21/2020-12-27,Oceania,52
GH,2020-12-21/2020-12-27,South America,22
GH,2020-12-28/2021-01-03,Africa,711
GH,2020-12-28/2021-01-03,Asia,2091
GH,2020-12-28/2021-01-03,Europe,4353
GH,2020-12-28/2021-01-03,North America,11874
GH,2020-12-28/2021-01-03,Oceania,324
GH,2020-12-28/2021-01-03,South America,83
GH,2021-01-04/2021-01-10,Africa,887
GH,2021-01-04/2021-01-10,Asia,827
GH,2021-01-04/2021-01-10,Europe,1868
GH,2021-01-04/2021-01-10,North America,15500
GH,2021-01-04/2021-01-10,Oceania,41
GH,2021-01-04/2021-01-10,South America,55
GH,2021-01-11/2021-01-17,Africa,750
GH,2021-01-11/2021-01-17,Asia,637
GH,2021-01-11/2021-01-17,Europe,2449
GH,2021-01-11/2021-01-17,North America,16825
GH,2021-01-11/2021-01-17,Oceania,34
GH,2021-01-11/2021-01-17,South America,57
GH,2021-01-18/2021-01-24,Africa,632
GH,2021-01-18/2021-01-24,Asia,764
GH,2021-01-18/2021-01-24,Europe,2402
GH,2021-01-18/2021-01-24,North America,14679
GH,2021-01-18/2021-01-24,Oceania,22
GH,2021-01-18/2021-01-24,South America,77
GH,2021-01-25/2021-01-31,Africa,621
GH,2021-01-25/2021-01-31,Asia,622
GH,2021-01-25/2021-01-31,Europe,2713
GH,2021-01-25/2021-01-31,North America,14098
GH,2021-01-25/2021-01-31,Oceania,20
GH,2021-01-25/2021-01-31,South America,99
GH,2021-02-01/2021-02-07,Africa,469
GH,2021-02-01/2021-02-07,Asia,828
GH,2021-02-01/2021-02-07,Europe,3906
GH,2021-02-01/2021-02-07,North America,16763
GH,2021-02-01/2021-02-07,Oceania,22
GH,2021-02-01/2021-02-07,South America,39
GH,2021-02-08/2021-02-14,Africa,398
GH,2021-02-08/2021-02-14,Asia,537
GH,2021-02-08/2021-02-14,Europe,2366
GH,2021-02-08/2021-02-14,North America,16734
GH,2021-02-08/2021-02-14,Oceania,43
GH,2021-02-08/2021-02-14,South America,59
GH,2021-02-15/2021-02-21,Africa,476
GH,2021-02-15/2021-02-21,Asia,771
GH,2021-02-15/2021-02-21,Europe,2222
GH,2021-02-15/2021-02-21,North America,13233
GH,2021-02-15/2021-02-21,Oceania,42
GH,2021-02-15/2021-02-21,South America,43
GH,2021-02-22/2021-02-28,Africa,262
GH,2021-02-22/2021-02-28,Asia,643
GH,2021-02-22/2021-02-28,Europe,2162
GH,2021-02-22/2021-02-28,North America,13371
GH,2021-02-22/2021-02-28,Oceania,63
GH,2021-02-22/2021-02-28,South America,42
GH,2021-03-01/2021-03-07,Africa,561
GH,2021-03-01/2021-03-07,Asia,806
GH,2021-03-01/2021-03-07,Europe,2589
GH,2021-03-01/2021-03-07,North America,15706
GH,2021-03-01/2021-03-07,Oceania,142
GH,2021-03-01/2021-03-07,South America,73
GH,2021-03-08/2021-03-14,Africa,407
GH,2021-03-08/2021-03-14,Asia,844
GH,2021-03-08/2021-03-14,Europe,2014
GH,2021-03-08/2021-03-14,North America,14411
GH,2021-03-08/2021-03-14,Oceania,252
GH,2021-03-08/2021-03-14,South America,66
GH,2021-03-15/2021-03-21,Africa,380
GH,2021-03-15/2021-03-21,Asia,768
GH,2021-03-15/2021-03-21,Europe,1967
GH,2021-03-15/2021-03-21,North America,14665
GH,2021-03-15/2021-03-21,Oceania,178
GH,2021-03-15/2021-03-21,South America,52
GH,2021-03-22/2021-03-28,Africa,361
GH,2021-03-22/2021-03-28,Asia,766
GH,2021-03-22/2021-03-28,Europe,1519
GH,2021-03-22/2021-03-28,North America,14169
GH,2021-03-22/2021-03-28,Oceania,267
GH,2021-03-22/2021-03-28,South America,56
GH,2021-03-29/2021-04-04,Africa,368
GH,2021-03-29/2021-04-04,Asia,905
GH,2021-03-29/2021-04-04,Europe,1871
GH,2021-03-29/2021-04-04,North America,13989
GH,2021-03-29/2021-04-04,Oceania,345
GH,2021-03-29/2021-04-04,South America,97
GH,2021-04-05/2021-04-11,Africa,268
GH,2021-04-05/2021-04-11,Asia,729
GH,2021-04-05/2021-04-11,Europe,1051
GH,2021-04-05/2021-04-11,North America,12717
GH,2021-04-05/2021-04-11,Oceania,80
GH,2021-04-05/2021-04-11,South America,314
GH,2021-04-12/2021-04-18,Africa,328
GH,2021-04-12/2021-04-18,Asia,553
GH,2021-04-12/2021-04-18,Europe,1049
GH,2021-04-12/2021-04-18,North America,10755
GH,2021-04-12/2021-04-18,Oceania,37
GH,2021-04-12/2021-04-18,South America,183
GH,2021-04-19/2021-04-25,Africa,308
GH,2021-04-19/2021-04-25,Asia,621
GH,2021-04-19/2021-04-25,Europe,824
GH,2021-04-19/2021-04-25,North America,8187
GH,2021-04-19/2021-04-25,Oceania,92
GH,2021-04-19/2021-04-25,South America,175
GH,2021-04-26/2021-05-02,Africa,308
GH,2021-04-26/2021-05-02,Asia,637
